Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bahamas,BHS,3593.57477,3185.22211,4339.66058,4335.92690568024,4570.35755329238,4726.37931595067,4865.20676738915,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bahrein,BHR,17050.70875,..,..,29249.5794618954,30921.9708369881,31941.0424444878,32849.1057287728,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bangladesh,BGD,126701.696,136012.9,164700.503,169927.913290136,177504.473602208,180498.432989672,183300.562417687,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Barbados,BRB,1199.66709,1313.94728,..,..,..,..,1540.61570884268,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Belarús,BLR,185411.7606,83387.545,100860.1753,101754.791693808,108204.547178591,108921.434693533,109647.238750262,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bélgica,BEL,137872.522,147051.2,137213.867,131110.289477906,138029.410871298,137517.867915404,133373.684007061,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Belice,BLZ,632.71626,1676.47151,1408.14902,1534.36458313462,1498.87844951416,1536.23743731011,1569.8585030674,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Benin,BEN,47187.972,40254.008,37639.925,38068.3747296726,33029.8223452635,33289.5519203445,33533.0967333661,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bermudas,BMU,652.962347,518.971347,..,561.263745445672,594.651571750838,614.875651538293,632.876992070822,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bhután,BTN,1280.14329,2309.76196,1908.28623,2190.92068373641,3220.40038033772,3259.60738958883,3296.96372502552,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bolivia,BOL,192645.695,91400.932,120003.253,76425.9663518695,102900.515628915,620981.955546628,621726.72675282,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bosnia y Herzegovina,BIH,31318.60314,22492.9083,24236.6085,24471.8965485269,25619.3313185136,26405.844115572,27108.4002030228,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Botswana,BWA,13373.085,39682.4972,73051.1312,22941.9658476252,81652.255603953,81891.0361459063,82110.2767551773,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Brasil,BRA,1606209.334,1222630.43,1532859.83,1211969.40849959,2902242.61816138,2953040.51916222,2989417.95671697,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas Vírgenes Británicas,VGB,72.916993,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Brunei Darussalam,BRN,18366.774,9649.3964,13738.0621,13549.7996975112,14123.5980784977,14494.4915224535,14828.9670065495,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Bulgaria,BGR,108086.0268,66195.088,71720.335,65132.8579,67945.3135,72946.6230665323,67942.6956330647,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Burkina Faso,BFA,12151.01,46470.1,40706.298,43473.0978945734,43405.9091881049,43660.150208767,43910.4023930555,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Burundi,BDI,2798.9396,3398.8732,5724.9553,5925.87668691856,6040.9823701579,6151.9955362651,6254.37102422528,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Cabo Verde,CPV,208.23803,333.35502,369.11656,376.400422517821,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Camboya,KHM,19521.916,42118.313,120478.859,87674.9467919816,126272.197590116,126838.759921248,127399.586925028,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Camerún,CMR,97554.79,163101.039,120917.192,116739.191913519,99823.2841036055,100386.545956658,100922.136209962,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Canadá,CAN,608685,760643,908926,749863.654006812,764137.675301163,1033481.98200961,1027063.85487082,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas Caimán,CYM,297.396063,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Centroafricana,CAF,146226.244,499622.058,603473.098,428273.612164627,511442.689268757,513289.515718343,515134.078641482,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Chad,TCD,18338.288,129247.645,119558.378,102031.53812638,109130.415140564,109463.638704445,109796.019972251,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas del Canal,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Chile,CHL,54730.277,90384.583,111021.043,110404.531907509,114284.996586273,117661.680608773,120687.892409947,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,China,CHN,3892675.1604,5082325.6,10022024.8,10617264.9,11183810.6,12064260.00255,12454710.6051,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Colombia,COL,174396.943,164520.425,167450.086,171912.029047431,166695.866929375,170199.57902723,173411.767914881,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Comoras,COM,294.3718926,365.90311,579.093,531.670002296986,543.622185158965,554.335660086527,564.2206617218,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Congo, República Democrática del",COD,1376921.73,861822.71,754085.86,731884.62677823,799228.673149844,800756.941604716,802271.302846335,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Congo, República del",COG,63552.840401,28435.401,31049.211,34611.2805484124,35247.1649100242,35504.4557838841,35743.9185202452,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Costa Rica,CRI,8593.78662,9851.2703,10806.5413,11067.7508013063,11684.5675043084,11994.6875158322,12274.1340926836,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Côte d'Ivoire,CIV,152200.604,29442.742,29682.239,30685.2342736302,32525.2533486886,33027.4827204803,33502.160237923,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Croacia,HRV,34734.33116,27312.045,32938.0609,31461.0364,31172.6453,30453.5113317779,30421.0493635559,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Cuba,CUB,57043.9724,46257.54,48557.436,50545.3964985048,49782.5314025299,51170.7478479685,52418.4556499535,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Chipre,CYP,5130.35771,7952.74819,9165.95482,..,..,7652.33091598057,7431.19345348047,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Checa,CZE,196206.7838,162021.192,144072.577,137877.28962,145706.917,144613.247371501,138957.424743003,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Dinamarca,DNK,72484.035,68553.546,65167.02911,63012.0156546705,63679.0897800674,58416.0447370069,53703.2239270284,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Djibouti,DJI,1821.59311,1969.1694,2518.567,2523.21548727578,2629.83257395005,2701.62250690939,2766.30381501414,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Dominica,DMA,130.666114,140.86978,202.798108,203.107461505429,211.314184610682,217.382774399324,222.835577813651,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Dominicana,DOM,17001.1508,28492.2016,30646.076,30499.8469375531,31668.7077187034,32578.1585810517,33395.0844298818,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Ecuador,ECU,30859.4911,39805.121,47603.308,49448.3280129417,50320.6980317543,51593.6633841968,52746.5726940589,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Egipto, República Árabe de",EGY,139101.6501,184459.7407,269736.626,266325.429884229,280255.576563894,288287.828043016,295499.745446082,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,El Salvador,SLV,6685.708201,10344.8258,11979.6733,11911.5614974884,11978.8533908473,12293.6068691146,12577.7897375628,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Guinea Ecuatorial,GNQ,243.380047,4048.32908,5766.37061,5840.52221773663,6099.11390788911,..,6374.17105425022,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Eritrea,ERI,3335.2411,4981.2584,4954.7574,4751.093152378,4844.785693043,4912.88017286787,4977.88803281947,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Estonia,EST,55787.31741,17768.8082,21871.9123,18815.60914,22767.1259,24378.846055451,23292.7792109021,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Etiopía,ETH,67300.580553,183617.668,175266.23,182032.58408693,182771.197854415,184045.876084179,185292.168103158,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas Feroe,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Fiji,FJI,2328.8648,1574.6846,2123.9629,2336.07495179159,2163.92228733812,2213.24287418135,2258.17305672094,..,..,..,..,..
